Year,Week,DateId,Team,Opp,Position,Player,PassAtt,PassCom,PassYds,PassTD,PassINT,Pass300,RushAtt,RushYds,RushTD,Rush100,RecCatches,RecYds,RecTD,Rec100,FumL,TwoPT,DefYardsTotal,DefPointsTotal,DefSk,DefINT,DefFF,DefFR,DefTD,DefSft,DefBlk,DefReturnTD,FantasyPointsDraftKings,FantasyPointsFanDuel
2019,17,20191229,ARI,@ LA,D,Arizona Defense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344.42,26,2,1.1,1.48,0.65,0.24,0.03,0.08,0.04,7.4,7.4
2019,17,20191229,KC,vs LAC,QB,Patrick Mahomes,33.9,22.04,278,2.16,0.64,0.4,3.2,11.2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9,20.7
2019,17,20191229,DAL,vs WAS,QB,Dak Prescott,34.68,22.71,267,1.97,0.71,0.34,3.2,12.16,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,20.4
2019,17,20191229,ARI,@ LA,RB,Chase Edmonds,0,0,0,0,0,0,1,3.95,0.03,0,0.4,2.8,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,1.3,1.1
2019,17,20191229,ARI,@ LA,RB,David Johnson,0,0,0,0,0,0,3.8,13.98,0.11,0,1.7,14.45,0.08,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0,5.7,4.8
2019,17,20191229,ARI,@ LA,RB,Kenyan Drake,0,0,0,0,0,0,15.5,63.55,0.42,0.17,2.9,21.17,0.11,0,0.13,0.03,0,0,0,0,0,0,0,0,0,0,15,12.9
2019,17,20191229,ARI,@ LA,TE,Charles Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ARI,@ LA,TE,Daniel Arnold,0,0,0,0,0,0,0,0,0,0,1.2,12,0.08,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2.9,2.3
2019,17,20191229,ARI,@ LA,TE,Darrell Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ARI,@ LA,TE,Maxx Williams,0,0,0,0,0,0,0,0,0,0,1.4,14,0.1,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,3.4,2.7
2019,17,20191229,ARI,@ LA,WR,Andy Isabella,0,0,0,0,0,0,0,0,0,0,0.8,12.4,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2.3,1.9
2019,17,20191229,ARI,@ LA,WR,Christian Kirk,0,0,0,0,0,0,0.7,4.55,0.01,0,4.6,52.9,0.26,0.1,0.05,0,0,0,0,0,0,0,0,0,0,0,12.2,9.6
2019,17,20191229,ARI,@ LA,WR,Damiere Byrd,0,0,0,0,0,0,0,0,0,0,1.8,21.6,0.11,0,0.02,0,0,0,0,0,0,0,0,0,0,0,4.6,3.7
2019,17,20191229,ARI,@ LA,WR,KeeSean Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,17,20191229,ARI,@ LA,WR,Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,4.4,48.4,0.23,0.07,0.04,0,0,0,0,0,0,0,0,0,0,0,10.8,8.3
